2026-03-19 20:52:50 | flow=010-registration-subscribe.yaml | sequence=28 | type=assertVisible | id=business-registration-screen | text= | error=Assertion is false: id: business-registration-screen is visible
2026-03-19 20:53:41 | flow=_resume-010.yaml | sequence=2 | type=assertVisible | id=business-registration-screen | text= | error=Assertion is false: id: business-registration-screen is visible
2026-03-19 20:54:32 | flow=_resume-010.yaml | sequence=2 | type=assertVisible | id=business-registration-screen | text= | error=Assertion is false: id: business-registration-screen is visible
2026-03-19 20:56:20 | flow=010-registration-subscribe.yaml | sequence=20 | type=tapOn | id=home-logout-btn | text= | error=Element not found: Id matching regex: home-logout-btn
2026-03-19 20:57:25 | flow=_resume-010.yaml | sequence=20 | type=tapOn | id=home-logout-btn | text= | error=Element not found: Id matching regex: home-logout-btn
2026-03-19 20:58:52 | flow=_resume-010.yaml | sequence=20 | type=tapOn | id=home-logout-btn | text= | error=Element not found: Id matching regex: home-logout-btn
2026-03-19 21:00:12 | flow=_resume-010.yaml | sequence=16 | type=runFlowCommand | id= | text= | error=Element not found: Id matching regex: home-logout-btn
2026-03-19 21:02:34 | flow=010-registration-subscribe.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: home-screen is visible
2026-03-19 21:03:25 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: home-screen is visible
2026-03-19 21:04:22 | flow=_resume-010.yaml | sequence=15 | type=assertVisible | id=home-screen | text= | error=Assertion is false: id: home-screen is visible
2026-03-19 21:05:26 | flow=_resume-010.yaml | sequence=15 | type=assertVisible | id=home-screen | text= | error=Assertion is false: id: home-screen is visible
2026-03-19 21:07:32 | flow=010-registration-subscribe.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:08:24 | flow=_resume-010.yaml | sequence=14 | type=assertVisible | id=connection-screen | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:09:29 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:10:31 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:11:31 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:13:55 | flow=010-registration-subscribe.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:15:00 | flow=_resume-010.yaml | sequence=14 | type=assertVisible | id=connection-screen | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:16:17 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:17:18 | flow=_resume-010.yaml | sequence=2 | type=runFlowCommand | id= | text= | error=Assertion is false: id: connection-screen is visible
2026-03-19 21:19:01 | flow=010-registration-subscribe.yaml | sequence=17 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:19:41 | flow=_resume-010.yaml | sequence=3 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:20:23 | flow=_resume-010.yaml | sequence=3 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:21:05 | flow=_resume-010.yaml | sequence=3 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:23:06 | flow=010-registration-subscribe.yaml | sequence=17 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:23:51 | flow=_resume-010.yaml | sequence=5 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:24:35 | flow=_resume-010.yaml | sequence=5 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
2026-03-19 21:25:27 | flow=_resume-010.yaml | sequence=5 | type=assertVisible | id=register-type-screen | text= | error=Assertion is false: id: register-type-screen is visible
